device_type,os,browser,total_users,churned_users,churn_rate,avg_session_duration
Generic Smartphone,Windows,Safari,35,13.0,37.14,135.05
Generic Tablet,Android,Chrome,31,11.0,35.48,135.63
LG UG,Linux,Opera,6,2.0,33.33,133.94
Generic Smartphone,Windows,IE,93,27.0,29.03,127.31
iPad,iOS,Chrome Mobile iOS,121,30.0,24.79,131.87
iPhone,iOS,Chrome Mobile iOS,129,30.0,23.26,134.63
Generic Smartphone,Android,Firefox Mobile,266,59.0,22.18,136.59
Generic Smartphone,Android,Chrome,272,59.0,21.69,129.12
Desktop,Windows,Firefox,269,58.0,21.56,126.61
Desktop,Linux,Firefox,308,64.0,20.78,133.22
Desktop,Windows,IE,1467,303.0,20.65,136.41
iPad,iOS,Firefox iOS,177,36.0,20.34,122.04
Desktop,Windows,Safari,484,98.0,20.25,134.21
Mac,Mac OS X,Chrome,315,62.0,19.68,136.69
Desktop,Windows,Opera,713,140.0,19.64,137.15
Desktop,Linux,Chrome,306,60.0,19.61,136.4
Desktop,Linux,Opera,723,141.0,19.5,137.82
iPod,iOS,Mobile Safari,484,93.0,19.21,133.72
Mac,Mac OS X,Firefox,276,47.0,17.03,131.88
iPhone,iOS,Firefox iOS,153,26.0,16.99,136.94
Mac,Mac OS X,Safari,502,84.0,16.73,140.56
Generic Smartphone,Windows,Opera,48,8.0,16.67,140.01
Desktop,Windows,Chrome,277,45.0,16.25,136.87
Generic Tablet,Android,Firefox Mobile,50,8.0,16.0,158.02
Generic Smartphone,Windows,Firefox,21,3.0,14.29,142.92
Generic Smartphone,Windows,Chrome,22,2.0,9.09,140.82
