cohort_month,total_users,churned_users,churn_rate,avg_days_to_churn
2022-01-01,229,49.0,21.4,801.14
2022-02-01,223,46.0,20.63,812.5
2022-03-01,225,52.0,23.11,779.67
2022-04-01,237,43.0,18.14,733.44
2022-05-01,264,58.0,21.97,702.83
2022-06-01,239,46.0,19.25,692.07
2022-07-01,207,55.0,26.57,713.91
2022-08-01,254,52.0,20.47,617.38
2022-09-01,188,44.0,23.4,667.7
2022-10-01,206,45.0,21.84,613.69
2022-11-01,205,31.0,15.12,589.13
2022-12-01,219,41.0,18.72,562.0
2023-01-01,190,38.0,20.0,550.03
2023-02-01,224,40.0,17.86,533.35
2023-03-01,251,48.0,19.12,480.04
2023-04-01,216,54.0,25.0,456.67
2023-05-01,199,33.0,16.58,418.45
2023-06-01,217,41.0,18.89,454.8
2023-07-01,205,43.0,20.98,355.67
2023-08-01,233,45.0,19.31,361.13
2023-09-01,210,34.0,16.19,337.03
2023-10-01,226,47.0,20.8,343.57
2023-11-01,258,40.0,15.5,304.15
2023-12-01,204,48.0,23.53,295.67
2024-01-01,239,44.0,18.41,241.77
2024-02-01,187,40.0,21.39,228.88
2024-03-01,203,42.0,20.69,207.48
2024-04-01,213,38.0,17.84,191.53
2024-05-01,252,56.0,22.22,168.64
2024-06-01,196,37.0,18.88,144.95
2024-07-01,243,46.0,18.93,129.54
2024-08-01,210,41.0,19.52,97.07
2024-09-01,228,41.0,17.98,70.61
2024-10-01,226,45.0,19.91,60.47
2024-11-01,239,47.0,19.67,34.85
2024-12-01,235,52.0,22.13,9.9
