job_title,unique_users,avg_cart_value,completed_purchases,total_revenue,conversion_rate
"Production assistant, radio",18,2884.61,9,31884.79,50.0
Consulting civil engineer,22,2284.89,10,29086.21,45.45
Health visitor,17,3006.2,8,28973.78,47.06
Agricultural consultant,18,2659.4,7,28490.61,38.89
Corporate treasurer,19,2424.85,9,26295.02,47.37
Financial manager,17,2685.35,7,25107.08,41.18
Licensed conveyancer,13,3413.94,7,24823.41,53.85
Medical sales representative,16,3333.12,8,24222.25,50.0
Archivist,17,2903.62,7,23375.77,41.18
"Education officer, community",16,2665.97,8,22677.26,50.0
